seq_idx,baseline_rmsd_A,framework_rmsd_A,paired_diff_A
418,0.901635,0.929669,-0.028034
419,1.107503,1.073530,0.033973
42,0.710045,0.887132,-0.177087
420,0.962294,1.010943,-0.048649
421,1.012560,1.109373,-0.096813
422,0.911682,0.911580,0.000102
423,0.976609,0.757260,0.219349
424,1.012169,1.036389,-0.024220
425,1.125218,0.868863,0.256354
426,0.841540,0.838055,0.003486
427,0.835442,1.024514,-0.189072
428,1.219675,0.743075,0.476600
429,0.915529,0.703895,0.211634
43,1.053800,0.693828,0.359972
430,1.107636,0.752266,0.355370
431,1.046025,0.584359,0.461667
432,0.943823,0.986006,-0.042183
433,1.047744,0.915766,0.131978
434,0.928285,0.688645,0.239641
435,0.965194,0.851155,0.114039
436,0.830882,0.798288,0.032594
437,0.927838,0.771345,0.156494
438,1.018522,0.725589,0.292933
439,1.026221,0.742174,0.284047
44,0.649534,0.697057,-0.047523
440,0.819194,0.796491,0.022704
441,0.874215,1.043799,-0.169584
442,0.917251,0.812185,0.105066
443,1.032466,1.063182,-0.030717
444,1.152740,0.838957,0.313783
445,0.946387,0.846979,0.099409
446,0.781662,0.798415,-0.016754
447,1.095942,0.837160,0.258782
448,0.849907,0.907086,-0.057179
449,0.988830,0.826542,0.162287
45,0.924395,0.896647,0.027748
450,0.978232,0.744552,0.233680
451,0.878410,0.783104,0.095306
452,0.891552,0.968713,-0.077161
453,1.009058,0.988958,0.020100
454,0.927678,0.817777,0.109901
455,1.045736,1.032390,0.013345
456,0.897020,0.795431,0.101589
457,1.057014,0.823772,0.233242
458,0.912202,0.730903,0.181299
459,0.889626,0.898448,-0.008822
46,0.862519,1.029814,-0.167295
460,1.052734,0.610008,0.442727
461,0.834972,1.203663,-0.368691
462,0.945991,0.681061,0.264930
463,1.023467,0.808687,0.214780
464,0.824362,0.691228,0.133134
465,0.896059,0.680353,0.215706
466,0.980715,0.840020,0.140695
467,1.091632,0.905444,0.186188
468,1.048163,0.937444,0.110719
469,0.932998,0.652186,0.280812
47,0.957377,0.990520,-0.033143
470,1.006614,0.742546,0.264069
471,0.956168,0.795606,0.160562
472,1.385764,0.883393,0.502372
473,0.957678,0.839277,0.118401
474,0.877162,0.855389,0.021773
475,0.991583,1.093818,-0.102235
476,0.914920,0.755832,0.159089
477,1.115906,0.900915,0.214991
478,1.040443,0.791649,0.248794
479,0.974320,0.642025,0.332295
48,0.905845,1.099863,-0.194018
480,0.990410,1.139486,-0.149076
481,1.039881,0.584125,0.455756
482,0.930949,0.764755,0.166195
483,1.044498,1.104089,-0.059591
484,1.018940,0.867964,0.150976
485,0.955259,0.957005,-0.001746
486,0.893264,0.934043,-0.040779
487,0.961696,0.835444,0.126251
488,1.068037,0.663443,0.404594
489,1.177438,0.735177,0.442261
49,0.858836,0.730889,0.127947
490,1.057197,0.742129,0.315068
491,0.841542,0.951356,-0.109814
492,0.835061,0.858620,-0.023559
493,0.970529,0.751771,0.218759
494,1.046362,0.879007,0.167356
495,1.028724,0.825093,0.203632
496,1.009691,0.749316,0.260375
497,0.992899,0.912402,0.080497
498,0.917264,0.755764,0.161501
499,1.117971,0.923944,0.194027
5,0.913244,0.700697,0.212547
50,0.658392,0.979037,-0.320645
500,0.738041,0.983605,-0.245564
501,1.139336,0.896157,0.243180
502,0.981502,0.871009,0.110494
503,0.682554,1.021159,-0.338605
504,0.913526,0.893814,0.019712
505,0.901196,0.931113,-0.029917
506,0.660793,0.803061,-0.142268
507,0.867574,1.121816,-0.254242
508,0.724875,0.724419,0.000456
509,0.918571,0.813380,0.105192
51,0.839960,1.133570,-0.293610
510,0.842848,0.845250,-0.002401
511,0.813547,0.746768,0.066780
512,0.803676,0.747092,0.056584
513,0.733277,0.865585,-0.132308
514,0.854539,0.889864,-0.035325
515,0.754691,0.979435,-0.224744
516,0.726209,1.087852,-0.361643
517,0.698014,0.690630,0.007384
518,0.811675,0.819096,-0.007421
519,0.797898,1.044057,-0.246159
52,0.715546,0.827667,-0.112121
520,0.780756,0.663813,0.116943
521,0.921037,0.753479,0.167558
522,1.238510,1.058414,0.180096
