scope,metric,n_paired,n_cap_base,sheet_A_weight,cell_C_weight,packing_B_weight,intensity_factor,uniform_d_z,uniform_mean_diff,uniform_p_value,tuned_d_z,tuned_mean_diff,tuned_p_value,delta_d_z,delta_mean_diff,verdict,bonf_sig,ci95_low,ci95_high
grid_subset,reconstruction_rmsd_A,100,0.3,1.0,2.0,1.0,0.3,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.02783128987461919,-0.005715709626515536,0.7813526327875423,0.06493967637411101,0.013336655795202827,tie,False,-0.04596821290049013,0.03453679364745906
grid_subset,reconstruction_rmsd_A,100,0.3,2.0,0.5,1.0,2.4,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.22265031899695253,-0.045725677012124086,0.02824705655215276,-0.12987935274822232,-0.026673311590405722,underpowered,False,-0.08597818028609869,-0.005473173738149491
grid_subset,reconstruction_rmsd_A,100,0.3,2.0,1.0,1.0,1.2,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.11132515949847623,-0.022862838506062032,0.2682961063041405,-0.018554193249746026,-0.003810473084343669,underpowered,False,-0.06311534178003662,0.017389664767912563
grid_subset,reconstruction_rmsd_A,100,0.3,2.0,2.0,1.0,0.6,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.05566257974923808,-0.01143141925303101,0.5790392196806121,0.03710838649949212,0.007620946168687354,underpowered,False,-0.051683922527005606,0.028821084020943584
grid_subset,reconstruction_rmsd_A,100,0.5,0.5,0.5,1.0,1.0,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,0.0,0.0,underpowered,False,-0.05930486869569296,0.02120013785225623
grid_subset,reconstruction_rmsd_A,100,0.5,0.5,1.0,1.0,0.5,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.0463854831243651,-0.009526182710859182,0.6437700557188004,0.0463854831243651,0.009526182710859182,tie,False,-0.04977868598483377,0.030726320563115413
grid_subset,reconstruction_rmsd_A,100,0.5,0.5,2.0,1.0,0.25,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.023192741562182557,-0.0047630913554295926,0.8170731233751133,0.06957822468654765,0.01428927406628877,tie,False,-0.04501559462940419,0.035489411918545
grid_subset,reconstruction_rmsd_A,100,0.5,1.0,0.5,1.0,2.0,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.1855419324974604,-0.03810473084343673,0.06651159884083115,-0.0927709662487302,-0.019052365421718363,underpowered,False,-0.07835723411741133,0.0021477724305378684
grid_subset,reconstruction_rmsd_A,100,0.5,1.0,1.0,1.0,1.0,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,0.0,0.0,underpowered,False,-0.05930486869569296,0.02120013785225623
grid_subset,reconstruction_rmsd_A,100,0.5,1.0,2.0,1.0,0.5,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.0463854831243651,-0.009526182710859182,0.6437700557188004,0.0463854831243651,0.009526182710859182,tie,False,-0.04977868598483377,0.030726320563115413
grid_subset,reconstruction_rmsd_A,100,0.5,2.0,0.5,1.0,4.0,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.3710838649949208,-0.07620946168687345,0.0003413139768362828,-0.2783128987461906,-0.05715709626515509,framework_wins,True,-0.11646196496084804,-0.03595695841289886
grid_subset,reconstruction_rmsd_A,100,0.5,2.0,1.0,1.0,2.0,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.1855419324974604,-0.03810473084343673,0.06651159884083115,-0.0927709662487302,-0.019052365421718363,underpowered,False,-0.07835723411741133,0.0021477724305378684
grid_subset,reconstruction_rmsd_A,100,0.5,2.0,2.0,1.0,1.0,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,-0.0927709662487302,-0.019052365421718363,0.35581446561251695,0.0,0.0,underpowered,False,-0.05930486869569296,0.02120013785225623
best_full,reconstruction_rmsd_A,1000,0.5,2.0,0.5,1.0,4.0,-0.09900259141333856,-0.01896431033601489,0.0017943338542103756,-0.39601036565335446,-0.07585724134405959,1.590671763509584e-33,-0.2970077742400159,-0.0568929310080447,framework_wins,True,-0.0877298611974911,-0.06398462149062809
d4_gate,byte_stable,30,,,,,,,,,,,,,,PASS,True,,
